;category;title;description;price;level;img_alt;img_url;product_quantity;product_details;img_src
0;PROGRAMOWANIE;Kurs Jak zacząć karierę w Data Science;Rozpocznij karierę jako specjalista przetwarzania danych. Poznaj możliwe ścieżki rozwoju i przydatne narzędzia w Data Science, Data Engineering i AI.;89;Podstawowy;Kurs Jak zacząć karierę w Data Science;;1000;20 materiałów treningowych i 24 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_jak_zaczac_kariere_w_data_science.jpg
1;PROGRAMOWANIE;Kurs Flutter i Dart - tworzenie aplikacji mobilnych w praktyce;Poznaj olbrzymie możliwości frameworka Flutter i języka Dart. Stwórz od zera własną aplikację mobilną na Androida lub iOS.;79;Średniozaawansowany;Kurs Flutter i Dart - tworzenie aplikacji mobilnych w praktyce;;1000;53 materiałów treningowych i 23 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_flutter_i_dart_-_tworzenie_aplikacji_mobilnych_w_praktyce.jpg
2;PROGRAMOWANIE;Kurs Tworzenie stron internetowych - praktyczne projekty;Stwórz aż trzy nowoczesne strony internetowe na podstawie projektów graficznych. Naucz się budować profesjonalne w pełni responsywne witryny!;89;Średniozaawansowany;Kurs Tworzenie stron internetowych - praktyczne projekty;;1000;20 materiałów treningowych i 46 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_tworzenie_stron_internetowych_-_praktyczne_projekty.jpg
3;PROGRAMOWANIE;Kurs SQL - bazy danych od podstaw;Poznaj język SQL od zera i dowiedz się jak programować wydajne i bezpieczne bazy danych. Naucz się wyszukiwać, wstawiać i modyfikować dane oraz tworzyć proste i złożone zapytania SQL.;89;Podstawowy;Kurs SQL - bazy danych od podstaw;;1000;35 materiałów treningowych i 27 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_sql_-_bazy_danych_od_podstaw.jpg
4;PROGRAMOWANIE;Kurs WordPress dla zielonych - własna strona od podstaw;Stwórz własną stronę bez jakiejkolwiek wiedzy na temat programowania. Dowiedz się jak samodzielnie nią zarządzać i wykorzystać do rozwoju swojego biznesu lub pasji.;79;Podstawowy;Kurs WordPress dla zielonych - własna strona od podstaw;;1000;20 materiałów treningowych i 62 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_wordpress_dla_zielonych.jpg
5;PROGRAMOWANIE;Kurs Praca z JSON i XML w praktyce;Poznaj struktury formatów JSON i XML na praktycznych przykładach. Wykorzystaj zdobytą wiedzę niezależnie od języka, w którym programujesz!;59;Podstawowy;Kurs Praca z JSON i XML w praktyce;;1000;20 materiałów treningowych i 26 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_praca_z_json_i_xml_w_praktyce.jpg
6;PROGRAMOWANIE;Kurs Tworzenie stron internetowych bez kodowania;Zbuduj dowolną stronę bez znajomości HTML, CSS, JavaScript i jakiekolwiek umiejętności kodowania. Wykorzystaj narzędzia no-code już dziś!;89;Podstawowy;Kurs Tworzenie stron internetowych bez kodowania;;1000;25 materiałów treningowych i 48 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/tworzenie_stron_internetowych_bez_kodowania.jpg
7;PROGRAMOWANIE;Kurs Django - aplikacje webowe od podstaw;Poznaj od zera Django, jeden z najpopularniejszych frameworków Python i wykorzystaj jego możliwości do tworzenia dynamicznych aplikacji webowych.;79;Podstawowy;Kurs Django - aplikacje webowe od podstaw;;1000;21 materiałów treningowych i 38 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_django_-_aplikacje_webowe_od_podstaw.jpg
8;PROGRAMOWANIE;Kurs Produktywny programista - techniki i narzędzia no-code;Dowiedz się jak wykorzystać najlepsze narzędzia no-code i lepiej organizować swoją pracę, tak by stać się bardziej produktywnym programistą!;69;Podstawowy;Kurs Produktywny programista - techniki i narzędzia no-code;;1000;26 materiałów treningowych i 42 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/kurs_produktywny_programista_-_techniki_i_narzedzia_no-code.jpg
9;PROGRAMOWANIE;Fundamenty programowania w języku PHP 8;Naucz się od podstaw najnowszej wersji języka PHP i zacznij szybko tworzyć wydajne aplikacje back-endowe.;79;Podstawowy;Fundamenty programowania w języku PHP 8;;1000;20 materiałów treningowych i 67 wykładów.;https://strefafilmy.s3.amazonaws.com/product_picture/shop/box/fundamenty_programowania_w_jezyku_php_8.jpg
